"Partner Countries","1998-01-01+Sum(Export Value)","2018-01-01+Sum(Export Value)","2015-01-01+Sum(Export Value)","2001-01-01+Sum(Export Value)","2002-01-01+Sum(Export Value)","2007-01-01+Sum(Export Value)","2009-01-01+Sum(Export Value)","2010-01-01+Sum(Export Value)","2011-01-01+Sum(Export Value)","2013-01-01+Sum(Export Value)","2014-01-01+Sum(Export Value)","2016-01-01+Sum(Export Value)","2019-01-01+Sum(Export Value)","2020-01-01+Sum(Export Value)","2021-01-01+Sum(Export Value)","2022-01-01+Sum(Export Value)","2023-01-01+Sum(Export Value)","2024-01-01+Sum(Export Value)","1992-01-01+Sum(Export Value)","1997-01-01+Sum(Export Value)","1989-01-01+Sum(Export Value)","2003-01-01+Sum(Export Value)","2008-01-01+Sum(Export Value)","2017-01-01+Sum(Export Value)","1986-01-01+Sum(Export Value)","1987-01-01+Sum(Export Value)","1988-01-01+Sum(Export Value)","1993-01-01+Sum(Export Value)","Cluster","PCA dimension 0"
"Afghanistan",0.0056011005671289795,0.0028299132309673363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cluster_1",0.18541693121580524
"Albania",0,0,0.00014910841936304392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cluster_1",0.1869477817008951
"Algeria",0,0.00883412066809909,0.02092780521177781,0.041006600660066006,0.06898204549539654,0.00595627352904788,0.007012063247945404,0.022462091747567914,0.0118672624716138,0.0038347871437482747,0.0007823401311295473,0.005040849285137511,0.009666284608810298,0.008796444488218058,0.0034841697504815077,0.003881712127219985,0.003367791430986282,0.009217956826157283,0,0,0,0,0,0,0,0,0,0,"cluster_1",0.13773469167874414
"Angola",0,0,0,0,0,0.0034111596175259375,0.00018263084538857116,0,0.0001922936048641125,0.0006851486363496917,0,0,0.0013118055877617814,0,0.00026690327281121283,0.00030608482723598444,0,0.000016790449592271917,0.000030240716100157252,0.000856318730845502,0,0,0,0,0,0,0,0,"cluster_1",0.1855240640417941
"Argentina",0.06509349205457915,0,0.0057362886037312195,0.014521452145214522,0.0017575043438317589,0.010949292140193358,0.006949584274522997,0.002813443918011092,0.013826825873562376,0.0448925748294798,0.008757538781300903,0.0010627939011067307,0,0,0.00002164080590361185,0,0,0,0,0.04054744306231596,0.0032105871067520213,0.03489696003643402,0.026599223825927703,0.000041257742273198454,0,0,0,0,"cluster_1",0.12319495581035018
"Armenia",0,0.034505476406159925,0.02883055143801914,0,0,0,0.0014850771375018023,0.007783693137621352,0.011079774375503625,0.026362883350888138,0.014403232115646218,0.015443167244573222,0.06482837210226783,0.010686233472040972,0.01717558628549994,0,0.02110395943046616,0.019907876399903737,0,0,0,0,0.006191950464396285,0.014254549955390066,0,0,0,0,"cluster_1",0.13233794935297102
"Australia",0.047068897748329494,0.010413781228242235,0.008490408820201559,0.056724422442244224,0.07621177927343173,0.03542833913642871,0.014192339116643438,0.03067007445271697,0.0019595634019485752,0.0016975324422992362,0.002323666956638506,0.0002493706360138698,0.011368981760602106,0.001594317090586758,0.00042560251610436635,0.00020869420038817122,0,0,0.06601548324664329,0.04382248662940929,0.11650124312366633,0.07497438232950017,0.0223782322417477,0.0030272868392959367,0.09373195175811108,0.09093596230417471,0.1167291822955739,0,"cluster_1",0.017439699048295763
"Austria",0.0277107080689539,0,0,0.036489273927392735,0.0619520281200695,0.017904169391470333,0.0015043014370163888,0.0012021537746618313,0,0,0,0,0,0.001809765346071455,0,0,0.0005721344515961252,0.0009178779110441981,0.035850368936736425,0.031323237786190734,0.02683972514242086,0.16930433792553798,0.00228491693193215,0,0.02029896381858332,0.04207744336063151,0.02565641410352588,0,"cluster_1",0.07571049594162448
"Azerbaijan",0,0,0.00034207225618580663,0,0.0009586387329991411,0.0017939518195797027,0.0044648435622627,0.002535635272606047,0.0030675408394989375,0.0010328360040495353,0,0,0,0,0.0017529052781925598,0.02276853726234948,0.0006241466744685002,0.0007163925159369352,0,0,0,0,0,0.0009540852900677142,0,0,0,0,"cluster_1",0.17964530894605138
"Bahrain",0,0,0,0,0,0.00016790682055179483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cluster_1",0.18694743433322317
"Bangladesh",0.005530911336964456,0.007771031570751574,0.006315180114199508,0.0003094059405940594,0.0002796029637914162,0.00005302320649004048,0,0.007692773944579701,0.05559116548238224,0.009070549857345919,0.02097722456080943,0.004714292499881252,0.0020869634350755614,0,0,0.010566883012987737,0,0.0034476389829465,0,0.0037107145003305087,0,0.00009488026111047858,0,0.0013976060195045976,0.000016986580601324952,0,0,0,"cluster_1",0.1546819076674231
"Barbados",0.000042113538098714134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025539330569076374,0,0,0,0,0,0,0,0,"cluster_1",0.1869176066114141
"Belarus",0,0.0029721575468096098,0.008692143740516266,0.0029290429042904288,0,0,0.003186427644542702,0.007303841841012638,0.009724562303127975,0.0005828876458497378,0.01016458334549658,0.012266660333444165,0.00587662402194293,0.027183414177726344,0.031783130270437936,0.002699111658353681,0,0,0,0,0,0,0,0.004595081045677478,0,0,0,0,"cluster_1",0.16366272863633585
"Belgium",0,1,1,0.09449257425742574,0.13772443130754328,0.6016985100478977,1,1,0.8542780748663101,1,0.9999999999999999,1,1,1,1,1,1,1,0,0,0,0.33014535656002125,1,1,0,0,0,0,"cluster_2",-2.988603007430034
